"File","LinkText","LinkTarget"
"docs\scenarios\daemon\README.md","Calling Downstream APIs from Web APIs","../../calling-downstream-apis/from-web-apis.md"
"docs\scenarios\daemon\README.md","MSAL.NET Framework Guide","../../frameworks/msal-dotnet-framework.md"
"docs\scenarios\daemon\README.md","Certificate Configuration","../../authentication/credentials.md"
"docs\scenarios\daemon\README.md","Token Cache Configuration","../../authentication/token-cache/README.md"
"docs\scenarios\daemon\README.md","Logging & Diagnostics","../../advanced/logging.md"
"docs\scenarios\daemon\README.md","Customization Guide","../../advanced/customization.md"
"docs\sidecar\scenarios\agent-autonomous-batch.md","Agent Identities","../agent-identities.md"
"docs\sidecar\scenarios\agent-autonomous-batch.md","Configuration Reference","../configuration.md"
"docs\sidecar\scenarios\agent-autonomous-batch.md","Security Best Practices","../security.md"
"docs\sidecar\scenarios\call-downstream-api.md","Obtain Authorization Header","obtain-authorization-header.md"
"docs\sidecar\scenarios\call-downstream-api.md","Using from TypeScript","using-from-typescript.md"
"docs\sidecar\scenarios\call-downstream-api.md","Using from Python","using-from-python.md"
"docs\sidecar\scenarios\call-downstream-api.md","Endpoints Reference","../endpoints.md"
"docs\sidecar\scenarios\long-running-obo.md","Configuration Reference","../configuration.md"
"docs\sidecar\scenarios\long-running-obo.md","Security Best Practices","../security.md"
"docs\sidecar\scenarios\long-running-obo.md","Troubleshooting","../troubleshooting.md"
"docs\sidecar\scenarios\long-running-obo.md","Agent Identities","../agent-identities.md"
"docs\sidecar\scenarios\managed-identity.md","Installation Guide","../installation.md#azure-kubernetes-service-aks-with-managed-identity"
"docs\sidecar\scenarios\managed-identity.md","Security Best Practices","../security.md"
"docs\sidecar\scenarios\managed-identity.md","Configuration Reference","../configuration.md"
"docs\sidecar\scenarios\managed-identity.md","Troubleshooting","../troubleshooting.md"
"docs\sidecar\scenarios\obtain-authorization-header.md","Call a Downstream API","call-downstream-api.md"
"docs\sidecar\scenarios\obtain-authorization-header.md","Agent Identities","../agent-identities.md"
"docs\sidecar\scenarios\obtain-authorization-header.md","Endpoints Reference","../endpoints.md"
"docs\sidecar\scenarios\obtain-authorization-header.md","Troubleshooting","../troubleshooting.md"
"docs\sidecar\scenarios\signed-http-request.md","Security Best Practices","../security.md#signed-http-requests-shr"
"docs\sidecar\scenarios\signed-http-request.md","Configuration Reference","../configuration.md#signed-http-request-shr-configuration"
"docs\sidecar\scenarios\signed-http-request.md","Endpoints Reference","../endpoints.md"
"docs\sidecar\scenarios\using-from-python.md","Call Downstream API","call-downstream-api.md"
"docs\sidecar\scenarios\using-from-python.md","Obtain Authorization Header","obtain-authorization-header.md"
"docs\sidecar\scenarios\using-from-python.md","Agent Identities","../agent-identities.md"
"docs\sidecar\scenarios\using-from-typescript.md","Call Downstream API","call-downstream-api.md"
